Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Neversink Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Neversink Reservoir","Increase in Storage for Neversink Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
6/1/1999,324600, ,134056,0,-458656
6/2/1999,200110, ,243214,-68228.2,-375096
6/3/1999, ,-141284,216711,-61281.7,-14145.5
6/4/1999, ,-99276.2,188793,-65229,-24287.4
6/5/1999, ,-111914,189843,-56568.8,-21360.2
6/6/1999,215880, ,183147,-54775,-344252
6/7/1999,444857, ,170924,-58156.2,-557626
6/8/1999,479735, ,137645,-70882.6,-546497
6/9/1999,434061, ,120643,-75702,-479002
6/10/1999,201770, ,109884,-67968.5,-243686
6/11/1999, ,-40037.8,102937,-62899.4,0
6/12/1999, ,-42124,98308.4,-56184.4,0
6/13/1999, ,-70400.3,129366,-58965.2,0
6/14/1999,218827, ,161447,-32151.2,-348123
6/15/1999,242543, ,147068,-41488.2,-348123
6/16/1999, ,-54014.8,125803,-36908.8,-34879.5
6/17/1999, ,-119297,158952,-39655.2,0
6/18/1999,206041, ,147051,-27468,-325624
6/19/1999, ,-90982.1,128065,-37083,0
6/20/1999,275219, ,121973,-52939.6,-344252
6/21/1999,500877, ,110917,-57797.4,-553997
6/22/1999,303338, ,99345.7,-58431.4,-344252
6/23/1999, ,-30307.5,90277.1,-59969.6,0
6/24/1999, ,-18670.6,84250.9,-65580.3,0
6/25/1999, ,-21566.3,87751.9,-66185.6,0
6/26/1999, ,-25742.3,82069.2,-56326.9,0
6/27/1999, ,-17810.7,79145.5,-61334.8,0
6/28/1999,115270, ,362430,-65952.6,-411748
6/29/1999, ,-475249,825188,42938.8,-392878
6/30/1999,7335.86, ,523827,93716.5,-624879
7/1/1999, ,-124627,480236,-7486.45,-348123
7/2/1999, ,-549358,587928,-38569.8,0
7/3/1999, ,-658377,710319,-14639.5,-37303
7/4/1999, ,-2644280,2659714,-1777.04,-13659.9
7/5/1999, ,-2776260,2575856,200408,0
7/6/1999, ,-1112980,1841373,48743.3,-777133
7/7/1999,221311, ,1138864,-7893.76,-1352280
7/8/1999,221311, ,618522,-36227.9,-803606
7/9/1999,221311, ,729637,-64578.2,-886370
7/10/1999,221311, ,640739,6059.49,-868110
7/11/1999,221311, ,409283,-29881.8,-600713
7/12/1999,221311, ,258319,-59100.3,-420530
7/13/1999,221311, ,184061,-54160.8,-351211
7/14/1999,221311, ,144997,-57790.7,-308517
7/15/1999,221311, ,123652,-58499.7,-286464
7/16/1999,221311, ,111250,-61296.8,-271264
7/17/1999,221311, ,101893,-69183.6,-254020
7/18/1999,221311, ,96494.8,-73488.9,-244317
7/19/1999,221311, ,105631,-74972.3,-251970
7/20/1999,221311, ,98172.5,-47540.7,-271943
7/21/1999,221311, ,88710.1,-51849.5,-258172
7/22/1999,221311, ,85984.3,-61747.4,-245548
7/23/1999,221311, ,83645.9,-63938.9,-241018
7/24/1999,730443, ,81668,-67238.9,-744872
7/25/1999,949015, ,81173.2,-72184.7,-958003
7/26/1999,25587.8, ,78194.7,-66284.9,-37497.6
7/27/1999, ,-7827.3,76373.1,-68545.8,0
7/28/1999, ,-6349.1,74715.8,-68366.7,0
7/29/1999,419252, ,97473.2,-67721.6,-449004
7/30/1999, ,-62566.1,98920.9,-36354.8,0
7/31/1999, ,-25195.6,76217.3,-51021.7,0
