Reservoir Storage Volume and Zones
"Scenario: GridMet, Reservoir: Cannonsville Reservoir"
Cubic Meter
Variable,"Storage Volume","Top of Buffer","Top of Conservation","Top of Inactive"
6/1/1999,380000000,330000000,380000000,16000000
6/2/1999,377608201,330000000,379344262,16000000
6/3/1999,375254735,330000000,378688525,16000000
6/4/1999,372879914,330000000,378032787,16000000
6/5/1999,372374170,330000000,377377049,16000000
6/6/1999,371827751,330000000,376721311,16000000
6/7/1999,370795103,330000000,376065574,16000000
6/8/1999,369405699,330000000,375409836,16000000
6/9/1999,368008884,330000000,374754098,16000000
6/10/1999,367218844,330000000,374098361,16000000
6/11/1999,366111698,330000000,373442623,16000000
6/12/1999,364787349,330000000,372786885,16000000
6/13/1999,363527545,330000000,372131148,16000000
6/14/1999,362357597,330000000,371475410,16000000
6/15/1999,361037797,330000000,370819672,16000000
6/16/1999,360000331,330000000,370163934,16000000
6/17/1999,358847409,330000000,369508197,16000000
6/18/1999,357478049,330000000,368852459,16000000
6/19/1999,356278728,330000000,368196721,16000000
6/20/1999,354586864,330000000,367540984,16000000
6/21/1999,352716537,330000000,366885246,16000000
6/22/1999,350740605,330000000,366229508,16000000
6/23/1999,348686300,330000000,365573770,16000000
6/24/1999,346686397,330000000,364918033,16000000
6/25/1999,344919511,330000000,364262295,16000000
6/26/1999,343250772,330000000,363606557,16000000
6/27/1999,341854209,330000000,362950820,16000000
6/28/1999,341972730,330000000,362295082,16000000
6/29/1999,343353684,330000000,361639344,16000000
6/30/1999,343813703,330000000,360983607,16000000
7/1/1999,343129552,330000000,360327869,16000000
7/2/1999,342693977,330000000,359672131,16000000
7/3/1999,343754058,330000000,359016393,16000000
7/4/1999,351308453,330000000,358360656,16000000
7/5/1999,357704918,330000000,357704918,16000000
7/6/1999,357049180,330000000,357049180,16000000
7/7/1999,356393443,330000000,356393443,16000000
7/8/1999,355737705,330000000,355737705,16000000
7/9/1999,355081967,330000000,355081967,16000000
7/10/1999,354426230,330000000,354426230,16000000
7/11/1999,353770492,330000000,353770492,16000000
7/12/1999,353114754,330000000,353114754,16000000
7/13/1999,352275001,330000000,352459016,16000000
7/14/1999,351722192,330000000,351803279,16000000
7/15/1999,350197127,330000000,351147541,16000000
7/16/1999,348440954,330000000,350491803,16000000
7/17/1999,347580826,330000000,349836066,16000000
7/18/1999,346326205,330000000,349180328,16000000
7/19/1999,345180133,330000000,348524590,16000000
7/20/1999,343487992,330000000,347868852,16000000
7/21/1999,342623486,330000000,347213115,16000000
7/22/1999,340915254,330000000,346557377,16000000
7/23/1999,338385397,330000000,345901639,16000000
7/24/1999,336524746,330000000,345245902,16000000
7/25/1999,334289145,330000000,344590164,16000000
7/26/1999,331684756,330000000,343934426,16000000
7/27/1999,329183653,330000000,343278689,16000000
7/28/1999,327369887,330000000,342622951,16000000
7/29/1999,326013014,330000000,341967213,16000000
7/30/1999,323090561,330000000,341311475,16000000
7/31/1999,319873658,330000000,340655738,16000000
8/1/1999,317168389,330000000,340000000,16000000
8/2/1999,313966882,330000000,340131579,16000000
8/3/1999,312824274,330000000,340263158,16000000
8/4/1999,310124746,330000000,340394737,16000000
8/5/1999,307008480,330000000,340526316,16000000
8/6/1999,304241526,330000000,340657895,16000000
8/7/1999,300732043,330000000,340789474,16000000
8/8/1999,298459624,330000000,340921053,16000000
8/9/1999,295487073,330000000,341052632,16000000
8/10/1999,291806824,330000000,341184211,16000000
8/11/1999,289515630,330000000,341315789,16000000
8/12/1999,287219805,330000000,341447368,16000000
8/13/1999,285737212,330000000,341578947,16000000
8/14/1999,283467448,330000000,341710526,16000000
8/15/1999,282168837,330000000,341842105,16000000
8/16/1999,281504631,330000000,341973684,16000000
8/17/1999,278078502,330000000,342105263,16000000
8/18/1999,274848645,330000000,342236842,16000000
8/19/1999,271533473,330000000,342368421,16000000
8/20/1999,269233334,330000000,342500000,16000000
8/21/1999,268949893,330000000,342631579,16000000
8/22/1999,268894006,330000000,342763158,16000000
8/23/1999,266870877,330000000,342894737,16000000
8/24/1999,265332461,330000000,343026316,16000000
8/25/1999,264141256,330000000,343157895,16000000
8/26/1999,262864672,330000000,343289474,16000000
8/27/1999,262445009,330000000,343421053,16000000
8/28/1999,261025585,330000000,343552632,16000000
8/29/1999,259231182,330000000,343684211,16000000
8/30/1999,256159582,330000000,343815789,16000000
8/31/1999,253286187,330000000,343947368,16000000
9/1/1999,252046574,330000000,344078947,16000000
