Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Beltzville Reservoir"
Cubic Meter
"Sources and Destinations","Decrease in Storage for Beltzville Reservoir","Increase in Storage for Beltzville Reservoir","Inflow from Upstream","Net Evaporation","Outflow to Downstream"
6/1/1999, ,-3779.6,90179.6,0,-86400
6/2/1999, ,-49129.6,155234,-19704.3,-86400
6/3/1999, ,-48506.8,157327,-22419.8,-86400
6/4/1999,10433.9, ,146882,-23069.7,-134247
6/5/1999,28681.1, ,145983,-21516.7,-153148
6/6/1999,33128.3, ,137041,-20104.8,-150064
6/7/1999, ,-83348,249262,-22611.9,-143302
6/8/1999,51004.2, ,143358,-16933.5,-177429
6/9/1999,101519, ,97138,-22103.9,-176553
6/10/1999,102281, ,80922.3,-19950.3,-163253
6/11/1999,56910.8, ,69290,-19061.4,-107139
6/12/1999,39491.7, ,62283.8,-15375.5,-86400
6/13/1999,782.9, ,101822,-16205.1,-86400
6/14/1999, ,-137128,231224,-7696.39,-86400
6/15/1999, ,-71154.9,196076,6855.98,-131777
6/16/1999,64346.7, ,117584,-5556.39,-176374
6/17/1999, ,-122500,319437,-15308.9,-181628
6/18/1999, ,-123100,328607,5525.02,-211032
6/19/1999,41149.6, ,214260,-200.072,-255209
6/20/1999,118518, ,190002,-21085.6,-287435
6/21/1999,84476.7, ,177574,-17761.6,-244289
6/22/1999,70234.9, ,138700,-14989.9,-193945
6/23/1999,78951.6, ,106232,-16424.4,-168759
6/24/1999,74547.1, ,84611.3,-18323,-140835
6/25/1999,62406.6, ,66480.3,-19039.2,-109848
6/26/1999,50189.8, ,55366.1,-19155.9,-86400
6/27/1999,57536.6, ,49425,-20561.6,-86400
6/28/1999,26119.5, ,81353.9,-21073.4,-86400
6/29/1999, ,-6931.39,102593,-9261.21,-86400
6/30/1999,27740.5, ,63728.5,-5068.98,-86400
7/1/1999,49598.8, ,53282.8,-16481.5,-86400
7/2/1999,53799, ,50548.9,-17947.9,-86400
7/3/1999,59465.8, ,45961,-19026.8,-86400
7/4/1999,64280.2, ,42951.9,-20832.1,-86400
7/5/1999,68472.9, ,40837.6,-22910.5,-86400
7/6/1999,71830.3, ,38887.6,-24317.9,-86400
7/7/1999,72949.4, ,37312.1,-23861.5,-86400
7/8/1999,73088.2, ,36194.9,-22883.1,-86400
7/9/1999,62638.5, ,43541,-19779.5,-86400
7/10/1999,45345.6, ,54717.7,-13663.3,-86400
7/11/1999,62502.4, ,35594.5,-11696.9,-86400
7/12/1999,52737.6, ,51153.9,-17491.5,-86400
7/13/1999,63720, ,34349.4,-11669.4,-86400
7/14/1999,69890.1, ,33566.8,-17056.9,-86400
7/15/1999,71374.3, ,32816.8,-17791.1,-86400
7/16/1999,71406, ,32066.6,-17072.6,-86400
7/17/1999,75029.7, ,31547.4,-20177.1,-86400
7/18/1999,78075.3, ,30642.5,-22317.8,-86400
7/19/1999,73040.6, ,35930.3,-22570.9,-86400
7/20/1999,70318, ,33832.3,-17750.3,-86400
7/21/1999, ,-43631.4,148851,-18819.4,-86400
7/22/1999, ,-102736,183122,6014.53,-86400
7/23/1999,67202, ,56315.6,-1582.64,-121935
7/24/1999,90879.2, ,57058.8,-18508.6,-129429
7/25/1999,58885.1, ,61404.4,-21457.5,-98832
7/26/1999,51007.3, ,55635.6,-20242.9,-86400
7/27/1999,59557, ,46858.3,-20015.3,-86400
7/28/1999,17504.8, ,88834.4,-19939.2,-86400
7/29/1999,7950.45, ,83131.4,-4681.85,-86400
7/30/1999,47855.2, ,49401.8,-10857,-86400
7/31/1999,65003.3, ,40913.8,-19517.1,-86400
8/1/1999,72474.1, ,34492.1,-20566.2,-86400
8/2/1999,77751.6, ,30318.8,-21670.4,-86400
8/3/1999,78746.8, ,27979,-20325.8,-86400
8/4/1999,78132.5, ,26503.6,-18236.1,-86400
8/5/1999,78713, ,25241.5,-17554.5,-86400
8/6/1999,80338.2, ,24072.6,-18010.8,-86400
8/7/1999,65761, ,38409.3,-17770.3,-86400
8/8/1999,32669, ,65114.5,-11383.5,-86400
8/9/1999,44382.3, ,48062.9,-6045.23,-86400
8/10/1999,66938.1, ,31628.5,-12166.6,-86400
8/11/1999,70988.6, ,29052.2,-13640.8,-86400
8/12/1999,75930, ,26100.6,-15630.7,-86400
8/13/1999, ,-233068,338319,-18851.3,-86400
8/14/1999, ,-807729,903780,35106,-131157
8/15/1999,2693.72, ,388341,31698.5,-422733
8/16/1999, ,-75632.9,632104,-12991.1,-543480
8/17/1999,248036, ,396917,-3544.42,-641408
8/18/1999,178214, ,311657,-17417.4,-472454
8/19/1999,229793, ,235710,-18610.5,-446893
8/20/1999,90341, ,241040,-16619.5,-314761
8/21/1999,59511.2, ,210946,-7655.48,-262802
8/22/1999,110802, ,126240,-7810.1,-229232
8/23/1999,114379, ,91790.1,-13427,-192742
8/24/1999,94641.3, ,61111.1,-12760.1,-142992
8/25/1999, ,-65794.7,174784,-15942,-93047.1
8/26/1999, ,-95900.4,196222,8906.65,-109228
