Reservoir Inflows and Outflows
"Scenario: GridMet, Reservoir: Prompton Lake"
Cubic Meter
"Sources and Destinations","Increase in Storage for Prompton Lake","Inflow from Upstream","Outflow to Downstream"
6/1/1999,-82592.7,82809.7,-217.031
6/2/1999,-141374,141591,-217.271
6/3/1999,-105066,105283,-217.512
6/4/1999,-78950.1,79167.8,-217.752
6/5/1999,-79491.5,79709.5,-217.993
6/6/1999,-78468.7,78686.9,-218.233
6/7/1999,-123695,123914,-218.474
6/8/1999,-80356.4,80575.1,-218.715
6/9/1999,-65339,65557.9,-218.955
6/10/1999,-63802.3,64021.5,-219.196
6/11/1999,-59279.7,59499.2,-219.436
6/12/1999,-55633.3,55852.9,-219.677
6/13/1999,-59995.2,60215.1,-219.917
6/14/1999,-104932,105153,-220.158
6/15/1999,-88435.2,88655.6,-220.399
6/16/1999,-70731.3,70951.9,-220.639
6/17/1999,-253039,253260,-220.88
6/18/1999,-210011,210232,-221.12
6/19/1999,-93738.7,93960.1,-221.361
6/20/1999,-93743.5,93965.1,-221.601
6/21/1999,-89126.4,89348.2,-221.842
6/22/1999,-79446.3,79668.4,-222.082
6/23/1999,-69945.7,70168.1,-222.323
6/24/1999,-62107.7,62330.2,-222.564
6/25/1999,-67784.6,68007.4,-222.804
6/26/1999,-57399.6,57622.6,-223.045
6/27/1999,-56359.2,56582.5,-223.285
6/28/1999,-118027,118251,-223.526
6/29/1999,-260602,260826,-223.766
6/30/1999,-174518,174742,-224.007
7/1/1999,-118940,119164,-224.248
7/2/1999,-111030,111254,-224.488
7/3/1999,-83943.4,84168.1,-224.729
7/4/1999,-71022.1,71247.1,-224.969
7/5/1999,-61953.5,62178.7,-225.21
7/6/1999,-87007.3,87232.8,-225.45
7/7/1999,-69593,69818.7,-225.691
7/8/1999,-49712.7,49938.6,-225.931
7/9/1999,-158067,158293,-226.172
7/10/1999,-141023,141249,-226.413
7/11/1999,-63247.8,63474.4,-226.653
7/12/1999,-56771.8,56998.7,-226.894
7/13/1999,-52269.8,52496.9,-227.134
7/14/1999,-47544.6,47772,-227.375
7/15/1999,-43752.7,43980.3,-227.615
7/16/1999,-40672.4,40900.2,-227.856
7/17/1999,-89650.8,89878.9,-228.097
7/18/1999,-203244,203472,-228.337
7/19/1999,-148473,148702,-228.578
7/20/1999,-68765.5,68994.3,-228.818
7/21/1999,-56275.3,56504.4,-229.059
7/22/1999,-58454.1,58683.4,-229.299
7/23/1999,-51078.7,51308.2,-229.54
7/24/1999,-100890,101120,-229.78
7/25/1999,-119170,119400,-230.021
7/26/1999,-71849.5,72079.8,-230.262
7/27/1999,-48343.3,48573.8,-230.502
7/28/1999,-41737.4,41968.1,-230.743
7/29/1999,-37336.5,37567.5,-230.983
7/30/1999,-67317,67548.3,-231.224
7/31/1999,-133379,133610,-231.464
8/1/1999,-73606.7,73838.4,-231.705
8/2/1999,-43653.8,43885.7,-231.946
8/3/1999,-39097.5,39329.7,-232.186
8/4/1999,-41028.8,41261.2,-232.427
8/5/1999,-36743.3,36975.9,-232.667
8/6/1999,-32753.9,32986.8,-232.908
8/7/1999,-33100.8,33334,-233.148
8/8/1999,-49229.4,49462.8,-233.389
8/9/1999,-40209.1,40442.7,-233.629
8/10/1999,-31716,31949.9,-233.87
8/11/1999,-29106.8,29340.9,-234.111
8/12/1999,-28433.2,28667.6,-234.351
8/13/1999,-88084.2,88318.8,-234.592
8/14/1999,-113063,113298,-234.832
8/15/1999,-63442.1,63677.2,-235.073
8/16/1999,-41165.9,41401.3,-235.313
8/17/1999,-13669.1,36717,-23047.9
8/18/1999,0,33990.2,-33990.2
8/19/1999,0,31610.5,-31610.5
8/20/1999,0,75434.7,-75434.7
8/21/1999,0,80827.9,-80827.9
8/22/1999,0,46449.1,-46449.1
8/23/1999,0,38872.7,-38872.7
8/24/1999,0,48458.4,-48458.4
8/25/1999,0,105283,-105283
8/26/1999,0,118405,-118405
8/27/1999,0,68468.3,-68468.3
8/28/1999,0,47550.2,-47550.2
8/29/1999,0,41292.5,-41292.5
8/30/1999,0,36449.2,-36449.2
8/31/1999,0,33024,-33024
9/1/1999,0,30118.4,-30118.4
9/2/1999,0,27089.7,-27089.7
9/3/1999,0,24542.1,-24542.1
9/4/1999,0,22811.8,-22811.8
9/5/1999,0,46959.3,-46959.3
9/6/1999,0,98817.9,-98817.9
9/7/1999,0,158487,-158487
9/8/1999,0,99557.9,-99557.9
9/9/1999,0,53107.6,-53107.6
9/10/1999,0,47195.9,-47195.9
9/11/1999,0,44111.5,-44111.5
9/12/1999,0,42469.8,-42469.8
9/13/1999,0,39083.5,-39083.5
9/14/1999,0,51488.6,-51488.6
9/15/1999,0,247313,-247313
9/16/1999,0,4360210,-4360210
9/17/1999,0,3668511,-3668510
9/18/1999,0,946029,-946029
9/19/1999,0,789874,-789874
9/20/1999,0,1204385,-1204390
9/21/1999,0,1778306,-1778310
9/22/1999,0,1265438,-1265440
9/23/1999,0,695401,-695401
9/24/1999,0,398430,-398430
9/25/1999,0,248557,-248557
9/26/1999,0,181829,-181829
9/27/1999,0,147566,-147566
9/28/1999,0,127663,-127663
9/29/1999,0,360866,-360866
9/30/1999,0,346758,-346758
10/1/1999,0,176250,-176250
10/2/1999,0,164444,-164444
10/3/1999,0,514471,-514471
10/4/1999,0,467368,-467368
10/5/1999,0,290723,-290723
10/6/1999,0,273180,-273180
10/7/1999,0,234390,-234390
10/8/1999,0,299760,-299760
10/9/1999,0,426130,-426130
10/10/1999,0,441973,-441973
10/11/1999,0,319483,-319483
10/12/1999,0,228683,-228683
10/13/1999,0,403126,-403126
10/14/1999,0,349431,-349431
