datetime,site_no,00062_Maximum,00062_Maximum_cd,00062_Minimum,00062_Minimum_cd,00062_Mean,00062_Mean_cd
2004-09-30,01470870,292.44,A,292.08,A,292.35,A
2004-10-01,01470870,292.08,A,291.36,A,291.63,A
2004-10-02,01470870,291.36,A,291.07,A,291.22,A
2004-10-03,01470870,291.07,A,290.83,A,290.98,A
2004-10-04,01470870,290.83,A,290.36,A,290.6,A
2004-10-05,01470870,290.36,A,290.1,A,290.19,A
2004-10-06,01470870,290.1,A,290.05,A,290.07,A
2004-10-07,01470870,290.11,A,290.08,A,290.1,A
2004-10-08,01470870,290.11,A,290.08,A,290.1,A
2004-10-09,01470870,290.09,A,290.04,A,290.06,A
2004-10-10,01470870,290.04,A,289.96,A,290.01,A
2004-10-11,01470870,289.97,A,289.86,A,289.92,A
2004-10-12,01470870,289.88,A,289.82,A,289.85,A
2004-10-13,01470870,289.97,A,289.87,A,289.92,A
2004-10-14,01470870,290.05,A,289.89,A,289.98,A
2004-10-15,01470870,289.89,A,289.75,A,289.79,A
2004-10-16,01470870,289.75,A,289.64,A,289.7,A
2004-10-17,01470870,289.65,A,289.48,A,289.57,A
2004-10-18,01470870,289.48,A,289.24,A,289.37,A
2004-10-19,01470870,289.25,A,288.89,A,289.14,A
2004-10-20,01470870,288.89,A,288.13,A,288.52,A
2004-10-21,01470870,288.13,A,287.58,A,287.84,A
2004-10-22,01470870,287.58,A,287.16,A,287.34,A
2004-10-23,01470870,287.16,A,286.81,A,286.99,A
2004-10-24,01470870,286.81,A,286.44,A,286.62,A
2004-10-25,01470870,286.44,A,286.24,A,286.31,A
2004-10-26,01470870,286.24,A,286.09,A,286.17,A
2004-10-27,01470870,286.1,A,285.93,A,286.01,A
2004-10-28,01470870,285.93,A,285.75,A,285.85,A
2004-10-29,01470870,285.76,A,285.59,A,285.67,A
2004-10-30,01470870,285.92,A,285.57,A,285.79,A
2004-10-31,01470870,285.95,A,285.9,A,285.92,A
2004-11-01,01470870,286.06,A,285.89,A,285.97,A
2004-11-02,01470870,285.96,A,285.63,A,285.8,A
2004-11-03,01470870,285.64,A,285.3,A,285.48,A
2004-11-04,01470870,285.3,A,285.16,A,285.21,A
2004-11-05,01470870,285.3,A,285.16,A,285.24,A
2004-11-06,01470870,285.16,A,284.97,A,285.07,A
2004-11-07,01470870,284.97,A,284.79,A,284.88,A
2004-11-08,01470870,284.81,A,284.72,A,284.75,A
2004-11-09,01470870,284.89,A,284.77,A,284.82,A
2004-11-10,01470870,285.01,A,284.89,A,284.95,A
2004-11-11,01470870,285.14,A,285.01,A,285.07,A
2004-11-12,01470870,285.34,A,285.14,A,285.23,A
2004-11-13,01470870,285.39,A,285.33,A,285.36,A
2004-11-14,01470870,285.34,A,285.25,A,285.3,A
2004-11-15,01470870,285.25,A,285.16,A,285.21,A
2004-11-16,01470870,285.16,A,285.06,A,285.11,A
2004-11-17,01470870,285.06,A,285.01,A,285.03,A
2004-11-18,01470870,285.07,A,285.03,A,285.04,A
2004-11-19,01470870,285.06,A,285.04,A,285.05,A
2004-11-20,01470870,285.09,A,285.04,A,285.06,A
2004-11-21,01470870,285.15,A,285.09,A,285.13,A
2004-11-22,01470870,285.16,A,285.15,A,285.15,A
2004-11-23,01470870,285.16,A,285.13,A,285.15,A
2004-11-24,01470870,285.17,A,285.12,A,285.13,A
2004-11-25,01470870,285.38,A,285.16,A,285.26,A
2004-11-26,01470870,285.42,A,285.37,A,285.4,A
2004-11-27,01470870,285.41,A,285.39,A,285.4,A
2004-11-28,01470870,288.77,A,285.38,A,286.86,A
2004-11-29,01470870,289.53,A,288.77,A,289.33,A
2004-11-30,01470870,289.31,A,287.99,A,288.76,A
2004-12-01,01470870,287.99,A,287.6,A,287.81,A
2004-12-02,01470870,287.84,A,286.84,A,287.39,A
2004-12-03,01470870,286.84,A,285.86,A,286.28,A
2004-12-04,01470870,285.86,A,284.99,A,285.45,A
2004-12-05,01470870,284.99,A,284.48,A,284.62,A
2004-12-06,01470870,284.69,A,284.43,A,284.53,A
2004-12-07,01470870,285.17,A,284.69,A,284.91,A
2004-12-08,01470870,285.43,A,285.17,A,285.35,A
2004-12-09,01470870,285.35,A,285.27,A,285.31,A
2004-12-10,01470870,286.29,A,285.34,A,285.65,A
2004-12-11,01470870,287.49,A,286.29,A,287.0,A
2004-12-12,01470870,287.93,A,287.49,A,287.74,A
2004-12-13,01470870,288.07,A,287.9,A,287.99,A
