# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-07-12 15:00:34 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01447780 Francis E. Walter Reservoir near White Haven, PA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01447780
#            TS   parameter     statistic     Description
#        165334       00062     00001     Elevation of reservoir water surface above datum, feet (Maximum)
#        165335       00062     00002     Elevation of reservoir water surface above datum, feet (Minimum)
#        165336       00062     00003     Elevation of reservoir water surface above datum, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	165334_00062_00001	165334_00062_00001_cd	165335_00062_00002	165335_00062_00002_cd	165336_00062_00003	165336_00062_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	01447780	2016-10-01	1302.61	A	1301.65	A	1302.23	A
USGS	01447780	2016-10-02	1302.80	A	1302.42	A	1302.66	A
USGS	01447780	2016-10-03	1302.42	A	1301.45	A	1301.97	A
USGS	01447780	2016-10-04	1301.45	A	1300.64	A	1300.97	A
USGS	01447780	2016-10-05	1300.64	A	1300.06	A	1300.27	A
USGS	01447780	2016-10-06	1300.76	A	1300.25	A	1300.53	A
USGS	01447780	2016-10-07	1300.95	A	1300.53	A	1300.71	A
USGS	01447780	2016-10-08	1300.54	A	1300.51	A	1300.53	A
USGS	01447780	2016-10-09	1300.51	A	1300.41	A	1300.46	A
USGS	01447780	2016-10-10	1300.96	A	1300.45	A	1300.68	A
USGS	01447780	2016-10-11	1301.47	A	1300.96	A	1301.36	A
USGS	01447780	2016-10-12	1301.42	A	1300.79	A	1301.31	A
USGS	01447780	2016-10-13	1300.79	A	1299.88	A	1300.12	A
USGS	01447780	2016-10-14	1300.48	A	1300.14	A	1300.31	A
USGS	01447780	2016-10-15	1300.68	A	1300.48	A	1300.58	A
USGS	01447780	2016-10-16	1300.86	A	1300.68	A	1300.77	A
USGS	01447780	2016-10-17	1300.92	A	1300.84	A	1300.90	A
USGS	01447780	2016-10-18	1300.84	A	1300.57	A	1300.64	A
USGS	01447780	2016-10-19	1300.57	A	1300.54	A	1300.56	A
USGS	01447780	2016-10-20	1300.99	A	1300.54	A	1300.78	A
USGS	01447780	2016-10-21	1301.25	A	1300.99	A	1301.16	A
USGS	01447780	2016-10-22	1301.14	A	1301.09	A	1301.11	A
USGS	01447780	2016-10-23	1301.33	A	1301.12	A	1301.22	A
USGS	01447780	2016-10-24	1301.36	A	1301.02	A	1301.29	A
USGS	01447780	2016-10-25	1301.02	A	1300.28	A	1300.52	A
USGS	01447780	2016-10-26	1300.28	A	1300.11	A	1300.18	A
USGS	01447780	2016-10-27	1300.53	A	1300.08	A	1300.18	A
USGS	01447780	2016-10-28	1301.93	A	1300.53	A	1301.43	A
USGS	01447780	2016-10-29	1302.07	A	1301.93	A	1302.03	A
USGS	01447780	2016-10-30	1302.21	A	1301.95	A	1302.04	A
USGS	01447780	2016-10-31	1302.64	A	1302.21	A	1302.51	A
USGS	01447780	2016-11-01	1302.42	A	1301.50	A	1302.01	A
USGS	01447780	2016-11-02	1301.50	A	1300.64	A	1300.95	A
USGS	01447780	2016-11-03	1300.64	A	1300.33	A	1300.50	A
USGS	01447780	2016-11-04	1300.35	A	1300.17	A	1300.25	A
USGS	01447780	2016-11-05	1300.59	A	1300.35	A	1300.47	A
USGS	01447780	2016-11-06	1300.71	A	1300.59	A	1300.66	A
USGS	01447780	2016-11-07	1300.71	A	1300.54	A	1300.68	A
USGS	01447780	2016-11-08	1300.54	A	1300.14	A	1300.21	A
USGS	01447780	2016-11-09	1300.19	A	1300.13	A	1300.15	A
USGS	01447780	2016-11-10	1300.31	A	1300.13	A	1300.19	A
USGS	01447780	2016-11-11	1300.67	A	1300.31	A	1300.51	A
USGS	01447780	2016-11-12	1300.86	A	1300.67	A	1300.77	A
USGS	01447780	2016-11-13	1300.99	A	1300.86	A	1300.92	A
USGS	01447780	2016-11-14	1301.05	A	1300.99	A	1301.02	A
USGS	01447780	2016-11-15	1301.08	A	1301.05	A	1301.07	A
USGS	01447780	2016-11-16	1301.10	A	1301.08	A	1301.10	A
USGS	01447780	2016-11-17	1301.13	A	1301.10	A	1301.11	A
USGS	01447780	2016-11-18	1301.32	A	1301.13	A	1301.20	A
USGS	01447780	2016-11-19	1301.53	A	1301.32	A	1301.41	A
USGS	01447780	2016-11-20	1301.99	A	1301.53	A	1301.76	A
USGS	01447780	2016-11-21	1302.43	A	1301.99	A	1302.21	A
USGS	01447780	2016-11-22	1302.08	A	1301.36	A	1301.72	A
USGS	01447780	2016-11-23	1301.36	A	1300.77	A	1300.93	A
USGS	01447780	2016-11-24	1300.82	A	1300.77	A	1300.79	A
USGS	01447780	2016-11-25	1301.14	A	1300.82	A	1300.94	A
USGS	01447780	2016-11-26	1301.77	A	1301.14	A	1301.44	A
USGS	01447780	2016-11-27	1302.26	A	1301.77	A	1302.09	A
USGS	01447780	2016-11-28	1302.39	A	1302.26	A	1302.34	A
USGS	01447780	2016-11-29	1302.44	A	1301.02	A	1301.99	A
USGS	01447780	2016-11-30	1301.02	A	1300.02	A	1300.50	A
USGS	01447780	2016-12-01	1303.54	A	1300.64	A	1302.79	A
USGS	01447780	2016-12-02	1303.04	A	1300.55	A	1301.52	A
USGS	01447780	2016-12-03	1301.22	A	1300.85	A	1301.12	A
USGS	01447780	2016-12-04	1300.85	A	1300.17	A	1300.46	A
USGS	01447780	2016-12-05	1300.71	A	1300.53	A	1300.67	A
USGS	01447780	2016-12-06	1300.63	A	1300.20	A	1300.42	A
USGS	01447780	2016-12-07	1301.01	A	1300.56	A	1300.89	A
USGS	01447780	2016-12-08	1301.11	A	1300.99	A	1301.05	A
USGS	01447780	2016-12-09	1301.00	A	1300.78	A	1300.90	A
USGS	01447780	2016-12-10	1301.09	A	1300.98	A	1301.06	A
USGS	01447780	2016-12-11	1301.53	A	1300.48	A	1300.88	A
USGS	01447780	2016-12-12	1303.79	A	1301.53	A	1302.59	A
USGS	01447780	2016-12-13	1304.53	A	1303.26	A	1304.00	A
USGS	01447780	2016-12-14	1303.26	A	1301.72	A	1302.39	A
USGS	01447780	2016-12-15	1301.72	A	1300.57	A	1300.98	A
USGS	01447780	2016-12-16	1301.85	A	1300.87	A	1301.11	A
USGS	01447780	2016-12-17	1303.42	A	1301.85	A	1302.75	A
USGS	01447780	2016-12-18	1305.06	A	1303.42	A	1304.23	A
USGS	01447780	2016-12-19	1305.75	A	1304.77	A	1305.35	A
USGS	01447780	2016-12-20	1304.77	A	1302.29	A	1303.27	A
USGS	01447780	2016-12-21	1302.29	A	1300.37	A	1301.30	A
USGS	01447780	2016-12-22	1300.37	A	1299.69	A	1299.89	A
USGS	01447780	2016-12-23	1300.21	A	1299.92	A	1300.03	A
USGS	01447780	2016-12-24	1300.55	A	1300.21	A	1300.34	A
USGS	01447780	2016-12-25	1300.99	A	1300.55	A	1300.77	A
USGS	01447780	2016-12-26	1301.23	A	1300.99	A	1301.12	A
USGS	01447780	2016-12-27	1301.88	A	1301.23	A	1301.42	A
USGS	01447780	2016-12-28	1302.60	A	1301.88	A	1302.31	A
USGS	01447780	2016-12-29	1302.07	A	1301.05	A	1301.53	A
USGS	01447780	2016-12-30	1301.05	A	1300.32	A	1300.58	A
USGS	01447780	2016-12-31	1300.52	A	1300.13	A	1300.30	A
USGS	01447780	2017-01-01	1300.83	A	1300.52	A	1300.72	A
USGS	01447780	2017-01-02	1300.83	A	1300.77	A	1300.81	A
USGS	01447780	2017-01-03	1301.38	A	1300.74	A	1300.85	A
USGS	01447780	2017-01-04	1302.85	A	1301.38	A	1302.44	A
USGS	01447780	2017-01-05	1303.01	A	1301.58	A	1302.53	A
USGS	01447780	2017-01-06	1301.58	A	1300.33	A	1300.68	A
USGS	01447780	2017-01-07	1300.78	A	1299.68	A	1300.17	A
USGS	01447780	2017-01-08	1300.80	A	1300.52	A	1300.66	A
USGS	01447780	2017-01-09	1300.66	A	1299.83	A	1300.25	A
USGS	01447780	2017-01-10	1301.15	A	1300.57	A	1300.81	A
USGS	01447780	2017-01-11	1302.23	A	1301.15	A	1301.70	A
USGS	01447780	2017-01-12	1303.50	A	1302.23	A	1303.00	A
USGS	01447780	2017-01-13	1304.71	A	1302.11	A	1303.70	A
USGS	01447780	2017-01-14	1302.11	A	1299.84	A	1300.80	A
USGS	01447780	2017-01-15	1302.03	A	1301.34	A	1301.85	A
USGS	01447780	2017-01-16	1302.02	A	1300.73	A	1301.28	A
USGS	01447780	2017-01-17	1300.73	A	1299.83	A	1300.14	A
USGS	01447780	2017-01-18	1300.86	A	1299.84	A	1300.25	A
USGS	01447780	2017-01-19	1301.61	A	1300.86	A	1301.37	A
USGS	01447780	2017-01-20	1302.13	A	1301.60	A	1301.68	A
USGS	01447780	2017-01-21	1304.98	A	1302.13	A	1303.60	A
USGS	01447780	2017-01-22	1306.91	A	1304.98	A	1306.04	A
USGS	01447780	2017-01-23	1307.44	A	1304.82	A	1306.47	A
USGS	01447780	2017-01-24	1304.82	A	1302.36	A	1303.58	A
USGS	01447780	2017-01-25	1302.36	A	1301.35	A	1301.75	A
USGS	01447780	2017-01-26	1302.76	A	1302.05	A	1302.42	A
USGS	01447780	2017-01-27	1303.27	A	1302.76	A	1303.13	A
USGS	01447780	2017-01-28	1303.23	A	1302.07	A	1302.77	A
USGS	01447780	2017-01-29	1302.07	A	1299.63	A	1300.94	A
USGS	01447780	2017-01-30	1299.63	A	1298.67	A	1299.08	A
USGS	01447780	2017-01-31	1300.14	A	1299.35	A	1299.59	A
USGS	01447780	2017-02-01	1300.81	A	1300.14	A	1300.65	A
USGS	01447780	2017-02-02	1300.80	A	1300.36	A	1300.62	A
USGS	01447780	2017-02-03	1300.36	A	1299.51	A	1299.95	A
USGS	01447780	2017-02-04	1301.15	A	1300.25	A	1300.60	A
USGS	01447780	2017-02-05	1301.94	A	1301.14	A	1301.42	A
USGS	01447780	2017-02-06	1302.20	A	1301.64	A	1301.98	A
USGS	01447780	2017-02-07	1301.64	A	1301.07	A	1301.26	A
