,cannonsville,pepacton,neversink,wallenpaupack,prompton,shoholaMarsh,mongaupeCombined,beltzvilleCombined,fewalter,merrillCreek,hopatcong,nockamixon,assunpink,ontelaunee,stillCreek,blueMarsh,greenLane,marshCreek,link_01425000,link_01417000,link_01436000,link_01433500,link_01449800,link_01447800,link_01463620,link_01470960,delLordville,delMontague,delTrenton,outletAssunpink,outletSchuylkill,outletChristina
1999-01-01,154.6649543433617,107.22532675090207,67.88854248686532,11.257997680244314,20.931881500401275,4.455656087719296,50.00635608050085,22.65896077774389,21.586815534649165,3.1355268912278813,9.486150010386591,6.45302996413899,11.165988071835235,67.27902338009945,36.43668515021271,120.48895896759245,45.51751365253805,2.244014044750006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.3445818185861,195.45362473552822,991.2635859519285,0.0,269.1760694995132,0.0
1999-01-02,173.04449712475525,117.33466249214044,67.74772767254083,11.321418846840947,21.362170262982307,5.383115886330595,49.187050726704115,22.55898822228008,21.524699482075327,3.386936067001032,8.817326336444216,2.7581533599565757,16.623193675502428,63.57432564782912,36.27919988662383,120.43034829952708,86.16559221434274,7.697268374228286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.37430005367935,0.0,1621.4447592342685,0.0,334.3548993078356,0.0
1999-01-03,74.2073329162254,131.9441298763203,66.34017471326497,10.988120407847548,18.690289818308433,9.193265307219745,62.29662834466793,36.84576095677797,46.136663786644654,19.330699343336164,26.568017303095925,36.98044531185137,54.80288839076822,143.91926822317043,57.85913848339797,117.68449183518332,491.09669814626693,245.6400145476077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.6700521922803,193.8892778496845,4240.413680386801,0.0,2002.9326010067134,0.0
1999-01-04,163.17605093383435,50.6979205826631,64.67883242136988,8.652372248786392,15.868581237928648,19.959477649805976,117.61985893058416,26.33403683015203,70.43206896361379,15.657373633099079,26.24973040776739,24.8027519597418,52.45338031583225,172.30730623130646,67.66256661364616,170.6739025085488,370.2828945733321,43.45133181047461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.3878131996164,193.62907768536846,4006.8613105754093,0.0,1696.5766359872812,0.0
1999-01-05,76.96890707188021,51.02624605243427,54.8205325028453,18.104151912361047,15.983719177060076,14.26173953185025,56.74585831015837,3.441104324479582,87.96220228142096,8.195974645905908,22.609766429100027,17.984246153854873,30.869038595630027,111.15744512152975,50.66491309348911,151.15098506808312,198.16158535886206,15.520353427776755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.4196434074731,172.25888392603272,3095.3905850706215,0.0,753.7199931362571,0.0
1999-01-06,129.72522986772904,123.41162633362879,55.288974146388064,19.012780194361774,17.041654366872077,24.559223386545842,54.46415378087456,4.59631514666381,122.39591385938616,11.231262018833442,17.605812120455795,22.137578665430894,34.784394747775565,103.61705766703716,37.28205947162027,68.9814012127439,154.82759905454915,11.392226341846884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.9038090417102,128.60978844095902,2542.7932394710474,0.0,639.0678640038534,0.0
1999-01-07,218.01748094740714,125.04544258501869,66.6992289399739,19.891850186364724,17.006584838165175,20.296190581563877,78.66950770484013,4.772356736899756,79.55127766320506,12.736106339306946,14.470501544852443,9.27592733635567,28.892529982045936,93.8069118122553,38.96345424231865,119.72903857597285,88.09787651106097,12.418214294332367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.44958153149486,194.65531212744344,2100.617928847314,0.0,455.1359053288376,0.0
1999-01-08,111.17262658062442,123.86462671998817,66.72645266897578,20.22820975925419,17.628606709756205,17.7797872053336,89.56397918158473,3.7110230307452365,47.61586350289629,13.773283884424885,16.32315328106733,8.395014014945412,23.55606673059356,86.75679067854277,39.41731115694774,109.79854132898538,98.5065466279843,6.369513601748467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.210715250465,194.77648061984422,2353.5769459585376,0.0,390.055689621889,0.0
1999-01-09,134.04964798069923,135.68234063515314,64.29372422368745,19.59069109749567,15.266018698822807,28.91635430347187,125.7513859197217,9.758404895760972,52.78031854997828,21.491982692988202,17.40989640039326,29.56326579983321,36.014547268070274,162.89512619569626,49.65246703050273,147.13664136643754,455.3870636864496,26.008650253391004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.1560175462262,193.9426639698946,3213.386300638653,0.0,1281.3934200767942,0.0
1999-01-10,172.4499495588996,46.739606810097435,49.27856024861963,29.424179946330025,27.729690405266467,24.029346814975757,111.61117045834729,9.85374125761141,150.14232635152078,30.04900148820711,21.182874976885476,28.368968187645834,32.477271359838696,245.6038946542018,58.111709568951674,398.8216108947048,366.12541594842673,13.603418383099628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.6976783747178,149.65690096235693,3711.413451355078,0.0,1354.0086588806216,0.0
