node1,node2,type,notes
catchment_cannonsville,reservoir_cannonsville,tributary,upper delaware
reservoir_cannonsville,link_cannonsville_nyc,,
link_cannonsville_nyc,demand_nyc,diversion,tunnels to nyc
reservoir_cannonsville,outflow_cannonsville,,
outflow_cannonsville,link_delLordville,mainstem,
catchment_pepacton,reservoir_pepacton,tributary,EB delaware
reservoir_pepacton,link_pepacton_nyc,,
link_pepacton_nyc,demand_nyc,diversion,tunnels to nyc
reservoir_pepacton,outflow_pepacton,,
outflow_pepacton,link_delLordville,mainstem,
catchment_delLordville,link_delLordville,mainstem,gain to delLordville gage minus cannonsville & pepacton releases
link_delLordville,link_delLackawaxen,mainstem,
catchment_prompton,reservoir_prompton,tributary,delLackawaxen
reservoir_prompton,outflow_prompton,,
outflow_prompton,link_delLackawaxen,tributary,where delLackawaxen meets Delaware
catchment_wallenpaupack,reservoir_wallenpaupack,tributary,
reservoir_wallenpaupack,outflow_wallenpaupack,,
outflow_wallenpaupack,link_delLackawaxen,tributary,
catchment_delLackawaxen,link_delLackawaxen,tributary,
link_delLackawaxen,link_delMontague,mainstem,
catchment_shoholaMarsh,reservoir_shoholaMarsh,tributary,
reservoir_shoholaMarsh,outflow_shoholaMarsh,,
outflow_shoholaMarsh,link_delMontague,tributary,
catchment_mongaupeCombined,reservoir_mongaupeCombined,tributary,several reservoirs representing mongaupe hydropower system
reservoir_mongaupeCombined,outflow_mongaupeCombined,,
outflow_mongaupeCombined,link_delMontague,tributary,
catchment_neversink,reservoir_neversink,tributary,
reservoir_neversink,link_neversink_nyc,,
link_neversink_nyc,demand_nyc,diversion,tunnels to nyc
reservoir_neversink,outflow_neversink,,
outflow_neversink,link_delMontague,,
catchment_delMontague,link_delMontague,tributary,
link_delMontague,outflow_montague,,
outflow_montague,link_delLehigh,mainstem,
catchment_beltzvilleCombined,reservoir_beltzvilleCombined,tributary,
reservoir_beltzvilleCombined,outflow_beltzvilleCombined,,includes 2 other GRanD reservoirs upstream
outflow_beltzvilleCombined,link_delLehigh,tributary,
catchment_fewalter,reservoir_fewalter,tributary,
reservoir_fewalter,outflow_fewalter,,
outflow_fewalter,link_delLehigh,tributary,
catchment_delLehigh,link_delLehigh,tributary,
link_delLehigh,link_delTrenton,mainstem,
catchment_merrillCreek,reservoir_merrillCreek,tributary,
reservoir_merrillCreek,outflow_merrillCreek,,
outflow_merrillCreek,link_delTrenton,tributary,
catchment_hopatcong,reservoir_hopatcong,tributary,
reservoir_hopatcong,outflow_hopatcong,,
outflow_hopatcong,link_delTrenton,tributary,
catchment_nockamixon,reservoir_nockamixon,tributary,
reservoir_nockamixon,outflow_nockamixon,,
outflow_nockamixon,link_delTrenton,tributary,
catchment_delTrenton,link_delTrenton,tributary,
link_delTrenton,link_delPhlEast,mainstem,
catchment_assunpink,reservoir_assunpink,tributary,
reservoir_assunpink,outflow_assunpink,,
outflow_assunpink,link_delPhlEast,tributary,
reservoir_assunpink,demand_nj,diversion,tunnel - see WEAP. need to figure out where this starts & goes exactly
catchment_vanSciver,reservoir_vanSciver,tributary,
reservoir_vanSciver,outflow_vanSciver,,
outflow_vanSciver,link_delPhlEast,tributary,
catchment_delPhlEast,link_delPhlEast,tributary,
link_delPhlEast,demand_phl,diversion,philly demand intake 1
link_delPhlEast,link_delSchuykill,mainstem,
catchment_ontelaunee,reservoir_ontelaunee,tributary,
reservoir_ontelaunee,outflow_ontelaunee,,
outflow_ontelaunee,link_delSchuykill,tributary,
catchment_stillCreek,reservoir_stillCreek,tributary,
reservoir_stillCreek,outflow_stillCreek,,
outflow_stillCreek,link_delSchuykill,tributary,
catchment_blueMarsh,reservoir_blueMarsh,tributary,
reservoir_blueMarsh,outflow_blueMarsh,,
outflow_blueMarsh,link_delSchuykill,tributary,
catchment_greenLane,reservoir_greenLane,tributary,
reservoir_greenLane,outflow_greenLane,,
outflow_greenLane,link_delSchuykill,tributary,
catchment_delSchuykill,link_delSchuykill,tributary,
link_delSchuykill,link_delPhlWest,mainstem,
catchment_delPhlWest,link_delPhlWest,tributary,
link_delPhlWest,demand_phl,diversion,
link_delPhlWest,link_delChristina,mainstem,philly demand intake 1
catchment_springton,reservoir_springton,tributary,
reservoir_springton,outflow_springton,,
outflow_springton,link_delChristina,tributary,
catchment_marshCreek,reservoir_marshCreek,tributary,
reservoir_marshCreek,outflow_marshCreek,,
outflow_marshCreek,link_delChristina,tributary,
catchment_delChristina,link_delChristina,tributary,
link_delChristina,output_del,mainstem,
