datetime,delMontague_lag1_regression_disagg,delMontague_lag2_regression_disagg,delTrenton_lag1_regression_disagg,delTrenton_lag2_regression_disagg,delTrenton_lag3_regression_disagg,delTrenton_lag4_regression_disagg
1979-10-01,869.1688337381057,831.5203789640893,5449.644952683353,5085.516176244028,4988.1585927297465,4917.215114157674
1979-10-02,1166.9295518919755,1092.440824852673,3555.781763067639,5225.924984075538,5673.095171351966,5557.246018938124
1979-10-03,1482.314445611141,1474.7188074606909,7200.834506704239,7419.251922579719,7673.103233376321,7611.417161234621
1979-10-04,1444.0977686071749,1436.5154084892854,10824.696913719483,10023.209154048878,9918.145018323823,9836.596581852777
1979-10-05,1428.0455498709823,1483.9079176401617,13711.785188368267,11874.564839119266,11699.237911110904,11663.996713260945
1979-10-06,1522.1795930117755,1448.947348201141,11906.52160800412,10598.884176136253,10613.833596192688,10461.302301328902
1979-10-07,1306.5332225642928,1562.7193214026604,11804.576269955232,10667.432520293267,10118.586297248326,10297.972109192475
1979-10-08,2256.1787183576766,2075.57458035389,11624.31611341878,11146.193546905684,10790.6273720437,10535.761029832462
1979-10-09,2494.4218405316533,2066.01311754414,11210.094214009754,10773.338528934499,10099.977727442343,9606.245851830838
1979-10-10,2559.3857003695407,2542.6489026990175,11121.418077766337,10658.079719431538,9680.816618600757,9603.411137566052
1979-10-11,2966.0657632826546,2924.2032753815083,11248.480194499602,10404.037612611093,9758.482109101027,9658.946336278077
1979-10-12,3072.379057366117,2768.812247184779,11023.40772694274,10082.718317827499,9659.895851792984,9300.515858956223
1979-10-13,2985.3106303176173,2755.4917261514875,10159.506158101347,9629.10908322437,8940.829055369692,8661.204545603057
1979-10-14,2972.9620076352853,2825.4969291696125,10123.84397940147,9314.988283191029,8670.938639024213,8475.968628002438
1979-10-15,3035.0270328626293,2751.092270209685,9406.39668693363,8717.438080736028,8200.511062761807,7874.011651696537
1979-10-16,2921.3465977052783,2682.123405495518,8729.72752465085,8165.013198954028,7550.963467065276,7274.122321733768
1979-10-17,2901.8038163608144,2647.7488893621976,8352.610560356927,7787.592319421089,7212.667111120714,6923.891706517455
1979-10-18,2829.6872070004474,2560.3186642634555,7906.152516809551,7357.612339409934,6806.558904608666,6505.496483211302
1979-10-19,2739.8171653095183,2480.1501513466937,7460.954321702785,6943.221575157693,6404.028193404649,6115.464548363541
1979-10-20,2650.2042493656995,2399.335800461683,7126.469595579778,6638.873486522958,6113.550400675118,5835.5760628495245
1979-10-21,2569.2571157107604,2335.013228253963,6837.332531787079,6364.193057196967,5860.929508896988,5601.080756149229
1979-10-22,2497.0530565873732,2266.849160320682,6523.37165187419,6087.687745407717,5611.8230122362065,5357.567927071201
1979-10-23,2417.222790556314,2195.091421461746,6244.389910004157,5825.04861180612,5371.097289907881,5126.317020728733
1979-10-24,2450.8327253020293,2201.961115655444,5768.848633482356,5440.69766049134,5234.439571607994,4964.581485438323
1979-10-25,2200.2253697135357,2113.130779911639,5589.705175366413,5315.1048277907585,4833.825084491373,4726.99398214883
1979-10-26,2437.922292052075,2212.8336379801344,6106.875420403423,5908.699900265463,5534.10985622575,5285.246569041161
1979-10-27,2295.117234662987,2116.9267103898815,5966.357069633732,5569.270551810841,5143.853959211125,4944.02492812178
1979-10-28,2293.3502413119127,2098.432256892717,5447.5313459940735,5189.128101062475,4803.959228003582,4590.359812410108
1979-10-29,2257.0193786844156,2093.2723588863664,5473.975431555864,5165.79430289091,4809.903911655441,4627.09665223084
1979-10-30,2286.1095538739196,2123.8683088858756,5439.078777042352,5217.119416511324,4874.223999856393,4692.62539080603
1979-10-31,2263.5675933064617,2093.690921422651,5569.197075619488,5306.544240949803,4917.870271137837,4728.028932684733
1979-11-01,2238.87468173426,2052.7333753918465,5503.723347278348,5191.875968378639,4825.467038350606,4619.926532150734
1979-11-02,2187.2710042426334,1947.427188154693,5193.533859747617,4877.10840611345,4619.2138920223315,4361.361928073412
1979-11-03,1891.4652440225434,1009.5370164369431,3227.791879138929,2675.8840077390323,3028.903790149326,2139.1525082273233
1979-11-04,1032.7982658289402,2355.7222421716847,2415.7121683238047,2983.7779765281234,2098.4550350031877,3413.0641220698294
1979-11-05,3406.2083601974227,3746.19507740224,6198.831245048158,6530.151797188206,7213.97278310804,7524.074546202837
1979-11-06,4881.183456773855,4262.01872312161,6875.300150738081,9196.512601411468,8552.497729298828,7904.649992815608
1979-11-07,4492.2702077165195,3964.5866756489895,8505.49238086844,8305.282263765317,7133.968814919433,6586.509070959793
1979-11-08,4081.9569154483233,3681.446281127751,8106.380079290621,7215.123889552366,6261.075914069041,5844.648459709295
1979-11-09,3874.227405852982,3461.9646280431684,8888.582826772363,8117.532694440625,7307.724794223476,6868.657398963921
1979-11-10,3646.4363146555543,3149.8013668962976,9369.161298948267,8569.144962952054,7929.873967046466,7398.817024083961
1979-11-11,3392.3976940361235,3130.9109083570206,8821.04679279968,8320.809264850002,7469.049678323989,7175.002040042191
1979-11-12,3448.1909748270946,3108.6562151377507,9153.616781326778,8528.144137534033,7860.8561718998135,7485.670872710405
1979-11-13,3274.018286208804,2937.7111457770648,8780.868918497625,8120.318144734274,7456.345905812725,7086.451015191491
1979-11-14,3138.4017017535866,2799.4078330709103,8327.915685428343,7719.519278079148,7103.237139465871,6732.624898971959
1979-11-15,2993.484735708007,2737.6433234607475,8076.639983230789,7523.27697037828,6853.822195653829,6567.278346251239
