datetime,delMontague_lag1_regression_disagg,delMontague_lag1_perfect_foresight,delMontague_lag2_regression_disagg,delMontague_lag2_perfect_foresight,delTrenton_lag1_regression_disagg,delTrenton_lag1_perfect_foresight,delTrenton_lag2_regression_disagg,delTrenton_lag2_perfect_foresight,delTrenton_lag3_regression_disagg,delTrenton_lag3_perfect_foresight,delTrenton_lag4_regression_disagg,delTrenton_lag4_perfect_foresight
1979-10-01,432.24419165514604,2839.854673022678,417.2661836303447,2239.305857295444,1740.1677183856712,3628.622169026198,1653.225685216335,4017.111664779166,1610.500070779612,5219.451408912059,1586.8138385972588,6563.364013934564
1979-10-02,542.783079244251,2239.305857295444,456.2662313678215,2095.5018602556493,1199.7100030918193,4017.111664779166,1927.898876380752,5219.451408912059,1846.868054832596,6563.364013934564,1741.7255910797917,8770.833522468376
1979-10-03,604.9338631022556,2095.5018602556493,556.1527624212395,1901.1495662943971,1684.8305333852243,5219.451408912059,2772.5376202499474,6563.364013934564,2558.2069332764304,8770.833522468376,2473.6991167335386,9349.63233629521
1979-10-04,663.5906159001098,1901.1495662943971,596.876987702826,1856.9928661601198,2909.5004668027036,6563.364013934564,3247.7791924915236,8770.833522468376,3000.3124450453347,9349.63233629521,2885.7828054215106,9690.469944771256
1979-10-05,597.4093725912254,1856.9928661601198,550.5811619480679,2404.6728817240846,4619.774728811315,8770.833522468376,3765.479894533435,9349.63233629521,3685.8212482742374,9690.469944771256,3600.619162037574,8891.340190649556
1979-10-06,652.363500032079,2404.6728817240846,558.2104200485268,2772.638714382484,5571.0557423440805,9349.63233629521,5072.489227986287,9690.469944771256,4865.46726493255,8891.340190649556,4715.9155859697785,8394.019375000513
1979-10-07,896.850687289389,2772.638714382484,875.4061924455864,2541.1391834751694,6249.08913887581,9690.469944771256,5826.248123505393,8891.340190649556,5397.994902361213,8394.019375000513,5327.3008994047905,8522.592739562955
1979-10-08,1218.5729297062126,2541.1391834751694,1289.7702298930744,2484.2593716097645,6513.449100658392,8891.340190649556,6067.362662777396,8394.019375000513,5652.111055170026,8522.592739562955,5672.7453362279475,9608.65131283238
1979-10-09,1215.9399777214546,2484.2593716097645,1092.991052111643,2585.7893131686023,5765.529463444763,8394.019375000513,4957.709316410341,8522.592739562955,4893.036597613302,9608.65131283238,4731.6856646632505,9470.651424791049
1979-10-10,997.141841555223,2585.7893131686023,932.6441454317535,2810.0909985018543,4732.20980554978,8522.592739562955,4381.384258110762,9608.65131283238,4115.3217247389985,9470.651424791049,4015.6635346985745,9064.533187840609
1979-10-11,1022.6896526678247,2810.0909985018543,1022.3465238887595,2890.2461574984363,5010.214314132612,9608.65131283238,4576.302704265268,9470.651424791049,4257.790020396719,9064.533187840609,4221.008621124258,8822.032856464146
1979-10-12,1249.9419892860838,2890.2461574984363,1156.9915671170497,2875.146918149071,5743.311251265637,9470.651424791049,5344.535379449633,9064.533187840609,5104.5873950242285,8822.032856464146,4971.954853693578,8532.15963727703
1979-10-13,1259.2235306290581,2875.146918149071,1172.1642427600555,2906.8571899843982,5669.112011895768,9064.533187840609,5295.5601020810755,8822.032856464146,4947.911802413745,8532.15963727703,4820.102546356439,8370.02015349665
1979-10-14,1216.9741976377222,2906.8571899843982,1168.5476930237342,2917.5920723391346,5334.990990126311,8822.032856464146,4764.094924679584,8532.15963727703,4455.732693375414,8370.02015349665,4373.381446151482,8155.382524236342
1979-10-15,1271.503144387233,2917.5920723391346,1141.4087195292987,2922.327301831322,4899.339183388211,8532.15963727703,4496.061852289587,8370.02015349665,4252.925618109971,8155.382524236342,4091.9818066106413,7850.456370224377
1979-10-16,1203.1134572788358,2922.327301831322,1118.3893016856193,2911.3356636477283,4686.7958496024,8370.02015349665,4304.254595699706,8155.382524236342,3999.5491069351838,7850.456370224377,3886.0185956214864,7596.325217093757
1979-10-17,1222.9966175328614,2911.3356636477283,1131.3800761402968,2881.0705460024647,4504.52266768254,8155.382524236342,4149.292373705434,7850.456370224377,3879.666652366718,7596.325217093757,3760.7576143270644,7370.545479457567
1979-10-18,1209.3961341538961,2881.0705460024647,1099.7051728041167,2857.841700406151,4304.912285114121,7850.456370224377,3960.6248078574004,7596.325217093757,3705.063187965628,7370.545479457567,3570.062845129549,7136.641342725621
1979-10-19,1163.7927363735232,2857.841700406151,1069.329891398533,2830.4007767153553,4063.12758018959,7596.325217093757,3732.4478800775314,7370.545479457567,3471.988511226031,7136.641342725621,3354.309682987201,6896.726663125388
1979-10-20,1146.6400432938192,2830.4007767153553,1055.6605203067602,2800.6016815615467,3888.2731667960393,7370.545479457567,3582.271534336622,7136.641342725621,3341.2767195204387,6896.726663125388,3228.66149515263,6601.255480269508
1979-10-21,1122.0214727223524,2800.6016815615467,1033.224915010404,2780.2633961153797,3747.6406447449613,7136.641342725621,3452.4834249808146,6896.726663125388,3220.9108026320546,6601.255480269508,3111.2851913855884,6471.131746581769
1979-10-22,1096.5122556048962,2780.2633961153797,1009.0728787259291,2749.113974423485,3588.8937952631327,6896.726663125388,3306.165213655108,6601.255480269508,3090.076839965518,6471.131746581769,2983.1264198250883,6852.821272436248
1979-10-23,1084.485272739819,2749.113974423485,1000.9504039454615,2661.4730909441178,3413.797507755461,6601.255480269508,3175.614188825033,6471.131746581769,2988.9616616537523,6852.821272436248,2888.706725400453,6727.771512629453
1979-10-24,1167.466282320649,2661.4730909441178,1053.0119241548755,2687.142556593054,3225.356783151815,6471.131746581769,3151.2556430804216,6852.821272436248,3046.3180901805104,6727.771512629453,2912.5965444383282,6411.675729435563
1979-10-25,1037.5975224166466,2687.142556593054,1003.7008396232036,2601.626488452721,3304.974338035859,6852.821272436248,3118.479175298763,6727.771512629453,2850.7836921497396,6411.675729435563,2798.8378128515687,6281.486396162401
1979-10-26,1162.7401208763417,2601.626488452721,1079.3076777457077,2543.5174650775252,3597.0644871423056,6727.771512629453,3416.985624517752,6411.675729435563,3214.1365567987004,6281.486396162401,3110.404061256114,6187.595500070703
1979-10-27,1123.0559155744531,2543.5174650775252,1049.3462483943867,2499.0558410029553,3646.7716590156406,6411.675729435563,3379.971031959983,6281.486396162401,3161.106444317017,6187.595500070703,3067.3023148675275,6288.211364721588
1979-10-28,1131.1795627387414,2499.0558410029553,1058.5024039439193,2449.9222008541856,3371.306687721855,6281.486396162401,3176.983067333502,6187.595500070703,2986.3791260610697,6288.211364721588,2896.0833723639876,6265.233647860832
1979-10-29,1162.3088249876148,2449.9222008541856,1089.7188665974675,2458.2604393268216,3353.13236705296,6187.595500070703,3182.691466261862,6288.211364721588,3008.282175354346,6265.233647860832,2917.6844281367944,5893.595388321983
1979-10-30,1161.9193127010828,2458.2604393268216,1092.732941868698,2444.5666245106345,3365.8825175520287,6288.211364721588,3201.4436484749986,6265.233647860832,2996.3895567530153,5893.595388321983,2908.3157379730815,3960.402878034386
1979-10-31,1180.4551277263708,2444.5666245106345,1107.0546897342851,2300.4261511032937,3506.5794379472286,6265.233647860832,3309.2308786623016,5893.595388321983,3087.38008572479,3960.402878034386,2995.096418586457,3900.1566538699385
1979-11-01,1193.3687919461672,2300.4261511032937,1112.8966712693905,1879.633298152951,3532.169198169653,5893.595388321983,3309.9278074669487,3960.402878034386,3104.586060941382,3900.1566538699385,3005.7603653293436,5980.232615186482
1979-11-02,1213.2439951387018,1879.633298152951,1044.015566216161,1833.6498738907587,3273.9384918779233,3960.402878034386,3071.317149711895,3900.1566538699385,3025.6902931554278,5980.232615186482,2841.1759142065544,7104.113833911909
1979-11-03,1165.5387929111687,1833.6498738907587,790.3694506288143,1911.1116701524,1898.9488558027974,3900.1566538699385,2045.831780668039,5980.232615186482,2217.8655541406456,7104.113833911909,1830.330185834014,6718.91677084346
1979-11-04,877.2041690830173,1911.1116701524,1242.776228646062,3152.337728503854,2109.4301660737515,5980.232615186482,2639.605447690073,7104.113833911909,2128.0354661188903,6718.91677084346,2472.718145392655,6810.170058066681
1979-11-05,1534.198271057,3152.337728503854,2516.0195834508568,4726.80650468837,4367.36990078604,7104.113833911909,4066.7054327319415,6718.91677084346,4120.421059357413,6810.170058066681,5072.1354423691455,8210.998340762902
1979-11-06,3076.4294943261466,4726.80650468837,3229.236861260548,5085.022669702693,5071.36900025875,6718.91677084346,5700.589335831841,6810.170058066681,6152.919581041735,8210.998340762902,6273.048946311572,9134.225490256009
1979-11-07,3717.6968761167495,5085.022669702693,3253.6855213745243,4865.826499708462,5786.650028361821,6810.170058066681,6829.645942161961,8210.998340762902,6461.9462455173725,9134.225490256009,5969.33907782293,9680.609498948328
1979-11-08,3491.8848295256203,4865.826499708462,3048.896914260218,4556.503953386353,6464.235580392236,8210.998340762902,6467.90841372943,9134.225490256009,5586.4673077999905,9680.609498948328,5121.77358968761,10268.952543576095
1979-11-09,3288.283993983052,4556.503953386353,2818.1057719142286,4219.532712137127,6684.277198129927,9134.225490256009,6147.352756438642,9680.609498948328,5336.716758299351,10268.952543576095,4846.11487275774,9895.83472347946
1979-11-10,3074.0253796877123,4219.532712137127,2547.6064107726415,3928.0947233406987,6885.719188958914,9680.609498948328,6349.807265666091,10268.952543576095,5642.92254282734,9895.83472347946,5091.368355336461,9446.335697051214
1979-11-11,2679.9871238400156,3928.0947233406987,2444.9436803034364,3809.9930014905376,7267.601365765102,10268.952543576095,6625.205096057758,9895.83472347946,5742.479751598661,9446.335697051214,5474.708612769431,8975.185387409738
1979-11-12,2648.7212798080964,3809.9930014905376,2341.0509117790994,3724.763475369361,7635.507245322961,9895.83472347946,6815.2614464631515,9446.335697051214,6232.238618514336,8975.185387409738,5887.601677882021,8607.45243763392
1979-11-13,2481.494354018457,3724.763475369361,2235.5296382031997,3589.8649665503117,7281.413540026113,9446.335697051214,6636.949161670818,8975.185387409738,6024.426638072633,8607.45243763392,5742.39951666289,8113.097953065538
1979-11-14,2454.0885162294044,3589.8649665503117,2174.2771480762754,3477.727272876701,7024.851733572359,8975.185387409738,6478.272259650532,8607.45243763392,5930.959217993735,8113.097953065538,5615.269332437507,7730.138246047651
1979-11-15,2286.851277546625,3477.727272876701,2082.986794156447,3395.225414572853,6728.103647178048,8607.45243763392,6124.524787148981,8113.097953065538,5547.402088463805,7730.138246047651,5310.1043555748165,7356.28346916784
1979-11-16,2259.493572205534,3395.225414572853,2010.7675627014082,3288.418273609492,6359.966381848097,8113.097953065538,5819.264591822761,7730.138246047651,5355.323107959303,7356.28346916784,5075.138481567674,7012.663536435046
