,pepacton,cannonsville,neversink,Total,PercentageTotal
12/1/1999,100636,60488,15968,177092,65.39586411
12/2/1999,101024,61142,15998,178164,65.79172821
12/3/1999,101055,61651,16037,178743,66.00553914
12/4/1999,101242,62237,16037,179516,66.29098966
12/5/1999,101351,62925,16149,180425,66.62666174
12/6/1999,101445,63447,16274,181166,66.90029542
12/7/1999,101507,63956,16312,181775,67.12518464
12/8/1999,101648,64504,16348,182500,67.3929099
12/9/1999,101445,64963,16322,182730,67.47784343
12/10/1999,101320,65408,16241,182969,67.56610044
12/11/1999,101226,65968,16106,183300,67.68833087
12/12/1999,101195,66286,16070,183551,67.7810192
12/13/1999,101133,66681,15857,183671,67.82533235
12/14/1999,101133,67012,15827,183972,67.93648449
12/15/1999,101101,67662,15762,184525,68.14069424
12/16/1999,100993,68073,15729,184795,68.24039882
12/17/1999,101009,68550,15755,185314,68.43205318
12/18/1999,101148,68735,15684,185567,68.52548006
12/19/1999,100993,68907,15690,185590,68.53397341
12/20/1999,100823,69093,15690,185606,68.53988183
12/21/1999,101055,69106,15765,185926,68.65805022
12/22/1999,101211,69463,15890,186564,68.89364845
12/23/1999,101024,69649,15899,186572,68.89660266
12/24/1999,101039,69755,16004,186798,68.98005908
12/25/1999,100915,69768,16017,186700,68.94387001
12/26/1999,100683,69715,15965,186363,68.81942393
12/27/1999,100668,69728,15968,186364,68.81979321
12/28/1999,100513,70139,15988,186640,68.92171344
12/29/1999,100326,69861,15942,186129,68.73301329
12/30/1999,100420,69821,15958,186199,68.75886263
12/31/1999,100125,69808,15952,185885,68.6429099
1/1/2000,99970,69781,15958,185709,68.57791728
1/2/2000,99800,69689,15932,185421,68.47156573
1/3/2000,99551,69768,15896,185215,68.39549483
1/4/2000,99583,69596,15985,185164,68.37666174
1/5/2000,99366,69742,16146,185254,68.4098966
1/6/2000,99444,70046,16208,185698,68.57385524
1/7/2000,99382,70218,16261,185861,68.63404727
1/8/2000,99259,70351,16338,185948,68.6661743
1/9/2000,98983,70457,16404,185844,68.62776957
1/10/2000,98998,70470,16491,185959,68.67023634
1/11/2000,99106,71212,16564,186882,69.01107829
1/12/2000,98983,71953,16568,187504,69.24076809
1/13/2000,99106,72562,16574,188242,69.51329394
1/14/2000,98829,73013,16524,188366,69.55908419
1/15/2000,98614,73331,16460,188405,69.57348597
1/16/2000,98429,73676,16454,188559,69.63035451
1/17/2000,98537,74008,16527,189072,69.81979321
1/18/2000,98429,74229,16557,189215,69.8725997
1/19/2000,98198,74658,16544,189400,69.94091581
1/20/2000,98168,74920,16430,189518,69.9844904
1/21/2000,97953,75307,16491,189751,70.07053176
1/22/2000,97648,75694,16278,189620,70.02215657
1/23/2000,97465,75929,16165,189559,69.99963072
1/24/2000,97267,76205,15988,189460,69.96307238
1/25/2000,97069,76523,15912,189504,69.97932053
1/26/2000,96871,76840,15814,189525,69.98707533
1/27/2000,96673,77131,15690,189494,69.97562777
1/28/2000,96234,77117,15593,188944,69.77252585
1/29/2000,95963,77034,15418,188415,69.57717873
1/30/2000,95765,76896,15280,187941,69.4021418
1/31/2000,95493,76896,15123,187512,69.2437223
2/1/2000,95267,76827,15210,187304,69.16691285
2/2/2000,94995,76633,15257,186885,69.01218612
2/3/2000,94665,76661,15286,186612,68.91137371
2/4/2000,94456,76509,15342,186307,68.79874446
2/5/2000,94411,76523,15374,186308,68.79911374
2/6/2000,94546,76661,15422,186629,68.9176514
2/7/2000,94605,76868,15463,186936,69.0310192
2/8/2000,94710,77061,15473,187244,69.14475628
2/9/2000,94516,76730,15496,186742,68.95937962
2/10/2000,94156,76537,15532,186225,68.76846381
2/11/2000,94141,76440,15574,186155,68.74261448
2/12/2000,93722,76150,15609,185481,68.4937223
2/13/2000,93437,75804,15632,184873,68.26920236
2/14/2000,93125,75555,15697,184377,68.08604136
2/15/2000,93318,75763,15854,184935,68.29209749
2/16/2000,93348,76329,15942,185619,68.54468242
2/17/2000,93273,76578,16033,185884,68.64254062
2/18/2000,93393,77006,16059,186458,68.85450517
2/19/2000,93258,77282,16152,186692,68.94091581
2/20/2000,93303,77462,16205,186970,69.04357459
2/21/2000,93140,77683,16261,187084,69.08567208
2/22/2000,93170,77807,16315,187292,69.16248154
2/23/2000,93021,78056,16355,187432,69.21418021
2/24/2000,92932,78249,16411,187592,69.2732644
