datetime,site_no,00062_Maximum,00062_Maximum_cd,00062_Minimum,00062_Minimum_cd,00062_Mean,00062_Mean_cd
2016-10-01,01447780,1302.61,A,1301.65,A,1302.23,A
2016-10-02,01447780,1302.8,A,1302.42,A,1302.66,A
2016-10-03,01447780,1302.42,A,1301.45,A,1301.97,A
2016-10-04,01447780,1301.45,A,1300.64,A,1300.97,A
2016-10-05,01447780,1300.64,A,1300.06,A,1300.27,A
2016-10-06,01447780,1300.76,A,1300.25,A,1300.53,A
2016-10-07,01447780,1300.95,A,1300.53,A,1300.71,A
2016-10-08,01447780,1300.54,A,1300.51,A,1300.53,A
2016-10-09,01447780,1300.51,A,1300.41,A,1300.46,A
2016-10-10,01447780,1300.96,A,1300.45,A,1300.68,A
2016-10-11,01447780,1301.47,A,1300.96,A,1301.36,A
2016-10-12,01447780,1301.42,A,1300.79,A,1301.31,A
2016-10-13,01447780,1300.79,A,1299.88,A,1300.12,A
2016-10-14,01447780,1300.48,A,1300.14,A,1300.31,A
2016-10-15,01447780,1300.68,A,1300.48,A,1300.58,A
2016-10-16,01447780,1300.86,A,1300.68,A,1300.77,A
2016-10-17,01447780,1300.92,A,1300.84,A,1300.9,A
2016-10-18,01447780,1300.84,A,1300.57,A,1300.64,A
2016-10-19,01447780,1300.57,A,1300.54,A,1300.56,A
2016-10-20,01447780,1300.99,A,1300.54,A,1300.78,A
2016-10-21,01447780,1301.25,A,1300.99,A,1301.16,A
2016-10-22,01447780,1301.14,A,1301.09,A,1301.11,A
2016-10-23,01447780,1301.33,A,1301.12,A,1301.22,A
2016-10-24,01447780,1301.36,A,1301.02,A,1301.29,A
2016-10-25,01447780,1301.02,A,1300.28,A,1300.52,A
2016-10-26,01447780,1300.28,A,1300.11,A,1300.18,A
2016-10-27,01447780,1300.53,A,1300.08,A,1300.18,A
2016-10-28,01447780,1301.93,A,1300.53,A,1301.43,A
2016-10-29,01447780,1302.07,A,1301.93,A,1302.03,A
2016-10-30,01447780,1302.21,A,1301.95,A,1302.04,A
2016-10-31,01447780,1302.64,A,1302.21,A,1302.51,A
2016-11-01,01447780,1302.42,A,1301.5,A,1302.01,A
2016-11-02,01447780,1301.5,A,1300.64,A,1300.95,A
2016-11-03,01447780,1300.64,A,1300.33,A,1300.5,A
2016-11-04,01447780,1300.35,A,1300.17,A,1300.25,A
2016-11-05,01447780,1300.59,A,1300.35,A,1300.47,A
2016-11-06,01447780,1300.71,A,1300.59,A,1300.66,A
2016-11-07,01447780,1300.71,A,1300.54,A,1300.68,A
2016-11-08,01447780,1300.54,A,1300.14,A,1300.21,A
2016-11-09,01447780,1300.19,A,1300.13,A,1300.15,A
2016-11-10,01447780,1300.31,A,1300.13,A,1300.19,A
2016-11-11,01447780,1300.67,A,1300.31,A,1300.51,A
2016-11-12,01447780,1300.86,A,1300.67,A,1300.77,A
2016-11-13,01447780,1300.99,A,1300.86,A,1300.92,A
2016-11-14,01447780,1301.05,A,1300.99,A,1301.02,A
2016-11-15,01447780,1301.08,A,1301.05,A,1301.07,A
2016-11-16,01447780,1301.1,A,1301.08,A,1301.1,A
2016-11-17,01447780,1301.13,A,1301.1,A,1301.11,A
2016-11-18,01447780,1301.32,A,1301.13,A,1301.2,A
2016-11-19,01447780,1301.53,A,1301.32,A,1301.41,A
2016-11-20,01447780,1301.99,A,1301.53,A,1301.76,A
2016-11-21,01447780,1302.43,A,1301.99,A,1302.21,A
2016-11-22,01447780,1302.08,A,1301.36,A,1301.72,A
2016-11-23,01447780,1301.36,A,1300.77,A,1300.93,A
2016-11-24,01447780,1300.82,A,1300.77,A,1300.79,A
2016-11-25,01447780,1301.14,A,1300.82,A,1300.94,A
2016-11-26,01447780,1301.77,A,1301.14,A,1301.44,A
2016-11-27,01447780,1302.26,A,1301.77,A,1302.09,A
2016-11-28,01447780,1302.39,A,1302.26,A,1302.34,A
