Elevation (ft),Acre-Ft,BG
1087,1.32,0
1088,2.75,0
1089,4.87,0
1090,7.66,0
1091,11.03,0
1092,15.12,0
1093,20.97,0.01
1094,29.24,0.01
1095,39.81,0.01
1096,52.51,0.02
1097,67.21,0.02
1098,83.98,0.03
1099,102.77,0.03
1100,123.36,0.04
1101,146.78,0.05
1102,175.03,0.06
1103,210.63,0.07
1104,254.89,0.08
1105,308.52,0.1
1106,369.73,0.12
1107,437.46,0.14
1108,511.35,0.17
1109,592.37,0.19
1110,682.19,0.22
1111,782.76,0.26
1112,896.56,0.29
1113,1023.12,0.33
1114,1163.87,0.38
1115,1321.27,0.43
1116,1493.98,0.49
1117,1677.74,0.55
1118,1873.83,0.61
1119,2081.23,0.68
1120,2301.76,0.75
1121,2532.22,0.83
1122,2771.83,0.9
1123,3020.15,0.98
1124,3277.24,1.07
1125,3543.31,1.15
1126,3819.16,1.24
1127,4119.14,1.34
1128,4436.9,1.45
1129,4769.86,1.55
1130,5115.9,1.67
1131,5473.38,1.78
1132,5840.95,1.9
1133,6218.83,2.03
1134,6606.31,2.15
1135,7002.98,2.28
1136,7408.8,2.41
1137,7823.29,2.55
1138,8246.13,2.69
1139,8676.75,2.83
1140,9114.7,2.97
1141,9559.88,3.12
1142,10012.87,3.26
1143,10473.28,3.41
1144,10941.32,3.57
1145,11417.13,3.72
1146,11901.15,3.88
1147,12393.53,4.04
1148,12894.37,4.2
1149,13403.45,4.37
1150,13921.8,4.54
1151,14449.87,4.71
1152,14986.11,4.88
1153,15530.24,5.06
1154,16082.92,5.24
1155,16643.67,5.42
1156,17212.41,5.61
1157,17788.95,5.8
1158,18372.89,5.99
1159,18964.18,6.18
1160,19563.13,6.37
1161,20169.83,6.57
1162,20784.63,6.77
1163,21407.64,6.98
1164,22038.68,7.18
1165,22678.04,7.39
1166,23326.13,7.6
1167,23982.65,7.81
1168,24647.75,8.03
1169,25321.51,8.25
1170,26003.41,8.47
1171,26693.37,8.7
1172,27391.14,8.93
1173,28096.67,9.16
1174,28809.74,9.39
1175,29530.12,9.62
1176,30258.23,9.86
1177,30994.41,10.1
1178,31738.52,10.34
1179,32490.2,10.59
1180,33249.53,10.83
1181,34016.47,11.08
1182,34790.97,11.34
1183,35572.99,11.59
1184,36362.5,11.85
1185,37159.27,12.11
1186,37963.33,12.37
1187,38774.79,12.63
1188,39593.81,12.9
1189,40420.42,13.17
1190,41254.36,13.44
1191,42095.51,13.72
1192,42944.06,13.99
1193,43800.34,14.27
1194,44664.2,14.55
1195,45535.49,14.84
1196,46414.2,15.12
1197,47300.51,15.41
1198,48194.16,15.7
1199,49095.3,16
1200,50004.25,16.29
1201,50921.02,16.59
1202,51845.77,16.89
1203,52779.1,17.2
1204,53721.02,17.51
1205,54672.99,17.82
1206,55636.45,18.13
1207,56611.28,18.45
1208,57596.61,18.77
1209,58592.51,19.09
1210,59598.76,19.42
1211,60615.44,19.75
1212,61642.82,20.09
1213,62680.77,20.42
1214,63728.94,20.77
1215,64787.19,21.11
1216,65856.2,21.46
1217,66936.77,21.81
1218,68028.66,22.17
1219,69131.2,22.53
1220,70244.33,22.89
1221,71367.7,23.26
1222,72500.82,23.62
1223,73643.68,24
1224,74796.77,24.37
1225,75960.61,24.75
1226,77135.47,25.13
1227,78322.57,25.52
1228,79524.17,25.91
1229,80742.4,26.31
1230,81978.04,26.71
1231,83230.89,27.12
1232,84501.16,27.53
1233,85793.76,27.96
