datetime,site_no,00062_Maximum,00062_Maximum_cd,00062_Minimum,00062_Minimum_cd,00062_Mean,00062_Mean_cd
1986-03-14,01428900,6.79,A,4.83,A,5.68,A
1986-03-15,01428900,8.18,A,6.51,A,7.37,A
1986-03-16,01428900,7.97,A,5.35,A,6.54,A
1986-03-17,01428900,6.59,A,4.98,A,5.78,A
1986-03-18,01428900,8.07,A,4.18,A,6.28,A
1986-03-19,01428900,8.3,A,7.89,A,8.16,A
1986-03-20,01428900,7.85,A,3.0,A,5.71,A
1986-03-21,01428900,6.17,A,2.62,A,4.0,A
1986-03-22,01428900,7.32,A,3.06,A,5.23,A
1986-03-23,01428900,7.13,A,4.69,A,6.31,A
1986-03-24,01428900,6.82,A,6.56,A,6.67,A
1986-03-25,01428900,6.55,A,4.43,A,5.97,A
1986-03-26,01428900,6.39,A,6.34,A,6.36,A
1986-03-27,01428900,6.45,A,6.38,A,6.42,A
1986-03-28,01428900,6.45,A,6.39,A,6.44,A
1986-03-29,01428900,6.39,A,6.27,A,6.32,A
1986-03-30,01428900,6.26,A,6.14,A,6.2,A
1986-03-31,01428900,6.14,A,6.0,A,6.06,A
1986-04-01,01428900,6.0,A,5.88,A,5.93,A
1986-04-02,01428900,5.86,A,5.76,A,5.81,A
1986-04-03,01428900,5.76,A,5.67,A,5.72,A
1986-04-04,01428900,5.66,A,5.59,A,5.62,A
1986-04-05,01428900,5.59,A,5.52,A,5.56,A
1986-04-06,01428900,5.75,A,5.52,A,5.63,A
1986-04-07,01428900,5.95,A,5.76,A,5.89,A
1986-04-08,01428900,5.95,A,5.87,A,5.92,A
1986-04-09,01428900,5.85,A,5.74,A,5.79,A
1986-04-10,01428900,5.73,A,5.67,A,5.69,A
1986-04-11,01428900,5.67,A,5.62,A,5.64,A
1986-04-12,01428900,5.62,A,5.59,A,5.61,A
1986-04-13,01428900,5.59,A,5.55,A,5.56,A
1986-04-14,01428900,5.55,A,5.49,A,5.52,A
1986-04-15,01428900,5.48,A,5.42,A,5.44,A
1986-04-16,01428900,6.55,A,5.51,A,5.91,A
1986-04-17,01428900,7.89,A,6.61,A,7.45,A
1986-04-18,01428900,7.83,A,7.51,A,7.72,A
1986-04-19,01428900,7.5,A,7.0,A,7.25,A
1986-04-20,01428900,6.99,A,6.59,A,6.78,A
1986-04-21,01428900,6.58,A,6.37,A,6.45,A
1986-04-22,01428900,6.36,A,6.21,A,6.28,A
1986-04-23,01428900,6.22,A,6.21,A,6.22,A
1986-04-24,01428900,6.57,A,6.17,A,6.28,A
1986-04-25,01428900,6.76,A,6.59,A,6.71,A
1986-04-26,01428900,6.73,A,6.54,A,6.62,A
1986-04-27,01428900,6.53,A,6.35,A,6.44,A
1986-04-28,01428900,6.33,A,6.14,A,6.24,A
1986-04-29,01428900,6.13,A,5.96,A,6.05,A
1986-04-30,01428900,5.96,A,5.83,A,5.9,A
1986-05-01,01428900,5.83,A,5.69,A,5.76,A
1986-05-02,01428900,5.71,A,5.59,A,5.64,A
1986-05-03,01428900,5.59,A,5.5,A,5.53,A
1986-05-04,01428900,5.5,A,5.43,A,5.45,A
1986-05-05,01428900,5.43,A,5.37,A,5.39,A
1986-05-06,01428900,5.37,A,4.94,A,5.27,A
1986-05-07,01428900,5.02,A,4.94,A,4.98,A
1986-05-08,01428900,5.01,A,4.96,A,4.99,A
1986-05-09,01428900,4.96,A,4.9,A,4.92,A
1986-05-10,01428900,4.9,A,4.82,A,4.85,A
1986-05-11,01428900,4.81,A,4.74,A,4.77,A
1986-05-12,01428900,4.73,A,4.67,A,4.7,A
1986-05-13,01428900,4.67,A,4.58,A,4.63,A
1986-05-14,01428900,4.58,A,4.5,A,4.53,A
1986-05-15,01428900,4.5,A,4.45,A,4.47,A
1986-05-16,01428900,4.45,A,4.4,A,4.42,A
1986-05-17,01428900,4.58,A,4.44,A,4.53,A
1986-05-18,01428900,4.59,A,4.58,A,4.59,A
1986-05-19,01428900,4.59,A,4.54,A,4.57,A
1986-05-20,01428900,4.68,A,4.54,A,4.57,A
1986-05-21,01428900,5.02,A,4.68,A,4.84,A
1986-06-02,01428900,4.86,A,4.67,A,4.79,A
1986-06-03,01428900,4.76,A,4.67,A,4.72,A
1986-06-04,01428900,4.67,A,4.59,A,4.61,A
1986-06-05,01428900,4.58,A,3.75,A,4.41,A
1986-06-06,01428900,4.2,A,3.8,A,3.95,A
1986-06-07,01428900,4.42,A,4.21,A,4.34,A
1986-06-08,01428900,10.1,A,3.75,A,5.91,A
1986-06-09,01428900,7.46,A,7.39,A,7.43,A
1986-06-10,01428900,7.39,A,7.25,A,7.31,A
1986-06-11,01428900,7.25,A,5.09,A,5.59,A
1986-06-12,01428900,6.75,A,5.1,A,5.93,A
1986-06-13,01428900,7.1,A,6.76,A,7.02,A
1986-06-14,01428900,7.05,A,6.66,A,6.87,A
1986-06-15,01428900,6.65,A,6.24,A,6.44,A
1986-06-16,01428900,7.51,A,4.95,A,5.99,A
1986-06-17,01428900,5.13,A,4.97,A,5.08,A
1986-06-18,01428900,6.46,A,4.96,A,5.88,A
1986-06-19,01428900,6.35,A,6.15,A,6.24,A
1986-06-20,01428900,6.15,A,6.01,A,6.08,A
1986-06-21,01428900,6.01,A,5.88,A,5.94,A
1986-06-22,01428900,5.87,A,5.76,A,5.79,A
1986-06-23,01428900,5.76,A,5.68,A,5.71,A
1986-06-24,01428900,5.68,A,5.58,A,5.62,A
1986-06-25,01428900,5.58,A,5.49,A,5.54,A
1986-06-26,01428900,5.51,A,5.45,A,5.47,A
1986-06-27,01428900,5.45,A,5.4,A,5.41,A
1986-06-28,01428900,5.4,A,5.39,A,5.39,A
1986-06-29,01428900,5.39,A,5.36,A,5.38,A
1986-06-30,01428900,5.36,A,5.33,A,5.35,A
1986-07-01,01428900,5.33,A,5.23,A,5.28,A
1986-07-02,01428900,5.73,A,5.2,A,5.44,A
1986-07-03,01428900,5.81,A,5.73,A,5.77,A
